name,price,status,shipping,free_returns,items_sold
Dog Lighted Collar Pendant Spotlight Water Proof Indicator Water Proof Pet,99,Brand New,0,False,
Cute Adjustable Dog Bandana Collar Puppy Cat Pet Neckerchief Neck Scarf Ties✔,140441,Brand New,0,False,
How to Be Your Dog's Best Friend: The Classic Training Manual for Do - VERY GOOD,446,Pre-Owned,0,True,169
Dog Soft Breathable Safety Muzzle Adjustable Mouth Cover Pet Mesh Anti-Barking🎀,359699,Brand New,0,False,
1-3 Dogs Training Collar 3000FT Remote Rechargeable Shock Dog Waterproof Trainer,20994299,Brand New,0,True,116
Various Pet Puppy Small Dog Cat Pet Clothes Dress Vest T Shirt Apparel Clothes,99339,Brand New,0,False,
Barbour Tartan Dog Collar Classic Tartan,3644,Brand New,599,False,
"Custom Engraved Personalized Pet Tags, Dog ID Tag, Bone Aluminum Charm",221,Brand New,0,False,
Country Brook Petz® Deluxe Dog Collar - Paisley Collection Made in The U.S.A.,1099,Brand New,0,False,
Country Brook Petz® Heavy Duty Nylon Martingale Dog Collar with Deluxe Buckle,1550,Brand New,0,False,
Cozy Large Washable Plush Dog Bed for Small & Medium Pets,271811688,Brand New,0,False,
4 Pack Dog Chew Toy Plush Puppy Squeaky Cute Bundle Aggressive Chewers Lot,1699,Brand New,0,False,
"PETPURO 6"" Bully Sticks for Dogs, Long-Lasting USA Made Beef Dog Chew Treats",6999,Brand New,0,False,
Dog and Cat Booster Seat for Armrest - Nesting Base Center Console Dog Car Seat,1399,Brand New,0,False,
Black Dog DVD Patrick Swayze NEW,899,Brand New,0,True,
Large Pet Dog Basket Muzzle Mouth Cover Mesh Cage NoBarking Biting Chewing Black,7981098,Brand New,0,False,296
Country Brook Petz® 1 Inch Nylon Dog Leash,14991599,Brand New,0,False,
Reflective Nylon Cat Collar With Bell For kitten Small Dog Puppy Pet Adjustable,120,Brand New,0,False,
Heavy Duty Genuine Leather Large Dog Collar Spiked Studded Rottweiler Dobermans,13892289,Brand New,0,False,43
"Bully Sticks 4"" 100% Natural Beef Bully Sticks Dog Chews & Treats USA Sourced 6",195011650,Brand New,0,True,432
"Empty Vintage AVON 6"" German Shepard DOG Figurine Perfume Bottlenochis or non bo",15000,Pre-Owned,471,False,
"Yak Milk Dog Chew Bones for Large dogs, Dog Dental Treats for Aggressive Chewers",1329,Brand New,0,True,
